Suplementary Table S2. Description of samples used to construct phylogenetic trees and temporal network.																									
Canine type	Age(BP)	Cal (BP)	UDG treatment	Location	Region	GenBank Accession Number	Breed	Sample ID	Sample Name (This Study)	Genome Size	Number of known pb	Haplogroup	Haplogroup (in this study)	Source	BEAST and ML trees	Temporal Network									
Dog	0			Portugal	Iberian Peninsula	MW916026	Estrela Mountain Dog	DOGPT24	eDog_PT24-EMD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916027	Portuguese Water Dog	DOGPT25	eDog_PT25-PWD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916028	Portuguese Water Dog	DOGPT26	eDog_PT26-PWD_PT_HgB	16771 bp of mt genome	16771 bp of mt genome	n/a	B	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916029	Azores Cattle Dog	DOGPT27	eDog_PT27-ACD_PT_HgA	16733 bp of mt genome	16733 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916030	Azores Cattle Dog	DOGPT28	eDog_PT28-ACD_PT_HgA	16732 bp of mt genome	16732 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916031	Azores Cattle Dog	DOGPT29	eDog_PT29-ACD_PT_HgC	16729 bp of mt genome	16729 bp of mt genome	n/a	C	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916032	Azores Cattle Dog	DOGPT30	eDog_PT30-ACD_PT_HgC	16731 bp of mt genome	16731 bp of mt genome	n/a	C	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916033	Castro Laboreiro Watchdog	DOGPT31	eDog_PT31-CLWD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916034	Castro Laboreiro Watchdog	DOGPT32	eDog_PT32-CLWD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916035	Castro Laboreiro Watchdog	DOGPT33	eDog_PT33-CLWD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916036	Castro Laboreiro Watchdog	DOGPT34	eDog_PT34-CLWD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916037	Castro Laboreiro Watchdog	DOGPT35	eDog_PT35-CLWD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916038	Portuguese Warren Hound (Large wire-haired)	DOGPT36	eDog_PT36-PWH_PT_HgA	16760 bp of mt genome	16760 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916039	Portuguese Warren Hound (Medium-sized wire-haired)	DOGPT37	eDog_PT37-PWH_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916040	Portuguese Warren Hound (Medium-sized wire-haired)	DOGPT38	eDog_PT38-PWH_PT_HgB	16720 bp of mt genome	16720 bp of mt genome	n/a	B	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916041	Portuguese Warren Hound (Small wire-haired)	DOGPT39	eDog_PT39-PWH_PT_HgB	16730 bp of mt genome	16730 bp of mt genome	n/a	B	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916042	Portuguese Warren Hound (Small wire-haired)	DOGPT40	eDog_PT40-PWH_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916043	Portuguese Warren Hound (Small short-haired)	DOGPT41	eDog_PT41-PWH_PT_HgA	16732 bp of mt genome	16732 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916044	Rafeiro of Alentejo	DOGPT42	eDog_PT42-RA_PT_HgC	16730 bp of mt genome	16730 bp of mt genome	n/a	C	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916045	Rafeiro of Alentejo	DOGPT43	eDog_PT43-RA_PT_HgC	16730 bp of mt genome	16730 bp of mt genome	n/a	C	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916046	Rafeiro of Alentejo	DOGPT44	eDog_PT44-RA_PT_HgD	16729 bp of mt genome	16729 bp of mt genome	n/a	D	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916047	Rafeiro of Alentejo	DOGPT45	eDog_PT45-RA_PT_HgC	16731 bp of mt genome	16730 bp of mt genome	n/a	C	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916048	Rafeiro of Alentejo	DOGPT46	eDog_PT46-RA_PT_HgB	16730 bp of mt genome	16730 bp of mt genome	n/a	B	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916049	Estrela Mountain Dog	DOGPT49	eDog_PT49-EMD_PT_HgD	16729 bp of mt genome	16729 bp of mt genome	n/a	D	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916050	Estrela Mountain Dog	DOGPT50	eDog_PT50-EMD_PT_HgA	16732 bp of mt genome	16732 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916051	Estrela Mountain Dog	DOGPT51	eDog_PT51-EMD_PT_HgD	16729 bp of mt genome	16729 bp of mt genome	n/a	D	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916052	Estrela Mountain Dog	DOGPT52	eDog_PT52-EMD_PT_HgC	16700 bp of mt genome	16700 bp of mt genome	n/a	C	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916053	Portuguese Sheepdog	DOGPT53	eDog_PT53-PSD_PT_HgA	16720 bp of mt genome	16716 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916054	Portuguese Sheepdog	DOGPT54	eDog_PT54-PSD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916055	Portuguese Sheepdog	DOGPT55	eDog_PT55-PSD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916056	Portuguese Sheepdog	DOGPT56	eDog_PT56-PSD_PT_HgC	16731 bp of mt genome	16730 bp of mt genome	n/a	C	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916057	Portuguese Pointer	DOGPT57	eDog_PT57-PP_PT_HgA	16710 bp of mt genome	16710 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916058	Portuguese Pointer	DOGPT58	eDog_PT58-PP_PT_HgA	16760 bp of mt genome	16760 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916059	Portuguese Pointer	DOGPT59	eDog_PT59-PP_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916060	Portuguese Pointer	DOGPT60	eDog_PT60-PP_PT_HgA	16710 bp of mt genome	16710 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916061	Barrocal Algarvio	DOGPT61	eDog_PT61-BA_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916062	Barrocal Algarvio	DOGPT62	eDog_PT62-BA_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916063	Barrocal Algarvio	DOGPT63	eDog_PT63-BA_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916064	Barrocal Algarvio	DOGPT64	eDog_PT64-BA_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916065	 Trasmontano Mastiff	DOGPT66	eDog_PT66-TM_PT_HgA	16730 bp of mt genome	16728 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916066	 Trasmontano Mastiff	DOGPT67	eDog_PT67-TM_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916067	Portuguese Pointer	DOGPT69	eDog_PT69-PP_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916068	Portuguese Pointer	DOGPT70	eDog_PT70-PP_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Wolf	0			Spain	Iberian Peninsula	KU644670.1	n/a	SpanishWolf2	eWolf1_ES	16580 bp of mt  genome	16557 bp of mt  genome	n/a	n/a	Koblmuller et al. 2016	?										
Wolf	0			Portugal	Iberian Peninsula	KU644668.1	n/a	PortugueseWolf	eWolf2_PT	16520 bp of mt  genome	16519 bp of mt  genome	n/a	n/a	Koblmuller et al. 2016	?										
Wolf	0			Portugal	Iberian Peninsula	KT448278.1	n/a	CLU_PT	eWolf3_PT	16729 bp of mt  genome	16721 bp of mt  genome	n/a	n/a	Koeplfi et al. 2015	?										
Wolf	0			Spain	Iberian Peninsula	DQ480505.1	n/a	n/a	eWolf4_ES	16729 bp of mt  genome	16725 bp of mt  genome	n/a	n/a	Bjornerfeldt et al. 2006	?										
Wolf	0			Portugal	Iberian Peninsula	MW916078	n/a	LUP006829	eWolf5_PT_Hg1	16759 bp of mt genome	16759 bp of mt genome	n/a	WolfHg1	This study2	?										
Wolf	0			Portugal	Iberian Peninsula	MW916079	n/a	LUP006830	eWolf6_PT_Hg1	16759 bp of mt genome	16759 bp of mt genome	n/a	WolfHg1	This study2	?										
Wolf	0			Sweden	Europe	AM711902.1	n/a	Sweden1	eWolf16_SE	16757 pb of mt genome	16757 pb of mt genome	B2 (Duleba et al 2015)	n/a	Arnason et al. 2007	?										
Wolf	0			Finland	Europe	KF661038.1	n/a	Finland	eWolf19_FI	16727 pb of mt genome	16402 pb of mt genome	B'C'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Russia	Russia/Caucasus	KF661039.1	n/a	Russia1	eWolf20_RU	16727 pb of mt genome	15926 pb of mt genome	B'C'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Sweden	Europe	KF661040.1	n/a	Sweden2	eWolf21_SE	16727 pb of mt genome	16413 pb of mt genome	B'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Israel	Middle East	KF661042.1	n/a	Israel1	eWolf23_IL	16727 pb of mt genome	16412 pb of mt genome	B'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Russia	Russia/Caucasus	KF661044.1	n/a	Russia2	eWolf25_RU	16727 pb of mt genome	16416 pb of mt genome	B'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Poland	Europe	KF661045.1	n/a	Poland1	eWolf26_PL	16727 pb of mt genome	16417 pb of mt genome	D (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Russia	Russia/Caucasus	KF661046.1	n/a	Russia3	eWolf27_RU	16727 pb of mt genome	16414 pb of mt genome	B'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Ukraine	Europe	KF661047.1	n/a	Ukraine	eWolf28_UA	16727 pb of mt genome	16416 pb of mt genome	B2 (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Italy	Europe	KF661048.1	n/a	Italy	eWolf29_IT	16727 pb of mt genome	16417 pb of mt genome	D (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Poland	Europe	KF661049.1	n/a	Poland2	eWolf30_PL	16727 pb of mt genome	16415 pb of mt genome	B'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Iran	Middle East	KF661051.1	n/a	Iran	eWolf32_IR	16727 pb of mt genome	16418 pb of mt genome	A'B'C'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Sweden	Europe	KF661052.1	n/a	Sweden3	eWolf33_SE	16727 pb of mt genome	16416 pb of mt genome	B'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Croatia	Europe	KF661054.1	n/a	Croatia	eWolf35_HR	16727 pb of mt genome	16416 pb of mt genome	B'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Israel	Middle East	KF661055.1	n/a	Israel2	eWolf36_IL	16727 pb of mt genome	16416 pb of mt genome	B'E (Duleba et al 2015)	n/a	Thalmann et al. 2013	?										
Wolf	0			Iran	Middle East	KU644671.1	n/a	Iran2	eWolf39_IR	16541 pb of mt genome	16540 pb of mt genome	n/a	n/a	Koblmuller et al. 2016	?										
Wolf	0			Italy	Europe	KU644662.1	n/a	Italy2	eWolf40_IT	16520 pb of mt genome	16520 pb of mt genome	n/a	n/a	Koblmuller et al. 2016	?										
Wolf	0			Bulgaria	Europe	KU696388.2	n/a	Bul729	eWolf41_BG	16730 pb of mt genome	16585 pb of mt genome	n/a	n/a	Koblmuller et al. 2016	?										
Wolf	0			Belarus	Europe	KU696390.1	n/a	Bel13	eWolf43_BY	16730 pb of mt genome	16710 pb of mt genome	n/a	n/a	Koblmuller et al. 2016	?										
Wolf	0			Ukraine	Europe	KU696397.1	n/a	CLUUkraine	eWolf50_UA	16730 pb of mt genome	16631 pb of mt genome	n/a	n/a	Koblmuller et al. 2016	?										
Wolf	0			Croatia	Europe	KU696398.1	n/a	Croatia7	eWolf51_HR	16668 pb of mt genome	16668 pb of mt genome	n/a	n/a	Koblmuller et al. 2016	?										
Wolf	0			Sweden	Europe	DQ480504.1	n/a	Sweden1	eWolf62_SE	16710 pb of mt genome	16710 pb of mt genome	B'E (Duleba et al 2015)	n/a	Bjornerfeldt et al. 2006	?										
Wolf	0			Russia	Russia/Caucasus	DQ480503.1	n/a	Russia1	eWolf63_RU	16730 pb of mt genome	16718 pb of mt genome	n/a	n/a	Bjornerfeldt et al. 2006	?										
Wolf	0			Portugal	Iberian Peninsula	MW916087	n/a	IberianWolf714	eWolf67_PT	16732 pb of mt genome	16640 pb of mt genome	n/a	n/a	This study1	?										
Wolf	0			Afganistan	Middle East	MN071185.1	n/a	Ms1	eWolf72_AF	16737 pb of mt genome	16619 pb of mt genome	n/a	n/a	Loog et al. 2020	?										
Wolf	0			Denmark	Europe	MN071186.1	n/a	Ms2	eWolf73_DK	16737 pb of mt genome	16730 pb of mt genome	n/a	n/a	Loog et al. 2020	?										
